team_abbr,team_name,team_division,team_logo_espn
ARI,Arizona Cardinals,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
ATL,Atlanta Falcons,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
BAL,Baltimore Ravens,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
BUF,Buffalo Bills,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
CAR,Carolina Panthers,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png
CHI,Chicago Bears,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
CIN,Cincinnati Bengals,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
CLE,Cleveland Browns,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
DAL,Dallas Cowboys,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
DEN,Denver Broncos,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
DET,Detroit Lions,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
GB,Green Bay Packers,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
HOU,Houston Texans,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
IND,Indianapolis Colts,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
JAX,Jacksonville Jaguars,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
KC,Kansas City Chiefs,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
LA,Los Angeles Rams,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LAC,Los Angeles Chargers,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
LV,Las Vegas Raiders,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
MIA,Miami Dolphins,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png
MIN,Minnesota Vikings,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/min.png
NE,New England Patriots,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
NO,New Orleans Saints,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/no.png
NYG,New York Giants,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png
NYJ,New York Jets,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
PHI,Philadelphia Eagles,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
PIT,Pittsburgh Steelers,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png
SEA,Seattle Seahawks,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png
SF,San Francisco 49ers,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
TB,Tampa Bay Buccaneers,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png
TEN,Tennessee Titans,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png
WAS,Washington Commanders,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png
